symptoms,topic
,Enlarged prostate - what to ask your doctor 
"Flush the tube with warm water.,If you have a nasogastric tube, remove and replace the tube (you will need to measure again).,Use a special lubricant (ClogZapper) if your provider has told you to use one.,Make sure any medicines are crushed properly to prevent clogging. ,Pinch the tube, and pull it out.,Comfort your child, and then try again.,Make sure you are inserting the tube the right way.,Make sure your child is sitting up.,Check the tube placement. ,Make sure the formula is mixed properly and warm.,DO NOT use formula that has been hanging for feeding for more than 4 hours.,Slow the feeding rate, or take a short break. (Make sure you flush the tube with warm water in between breaks.),Check with your provider about antibiotics or other medicines that may be causing it.,Start feeding when your child feels better. ,Make sure the formula is mixed properly and warm.,Make sure your child is sitting up during feedings.,DO NOT use formula that has been hanging for feeding for more than 4 hours.,Slow the feeding rate, or take a short break. (Make sure you flush the tube with warm water in between breaks.),Start feeding when your child feels better. ,Take a break from feeding.,Check with your provider about choice of formula and adding more fiber. ,Keep the area around the nose clean and dry.,Tape down over the nose, not up.,Switch nostrils at each feeding.,Ask your doctor about a smaller tube. ",Enteral nutrition - child - managing problems
"Dribbling at the end of urinating,Inability to urinate (urinary retention),Incomplete emptying of your bladder, or , (these may indicate infection),Straining to urinate,Weak urine stream ",Enlarged prostate
"Urinate when you first get the urge. Also, go to the bathroom on a timed schedule, even if you do not feel a need to urinate.,Avoid alcohol and caffeine, especially after dinner.,DO NOT drink a lot of fluid all at once. Spread out fluids over the day. Avoid drinking fluids within 2 hours of bedtime.,Keep warm and exercise regularly. Cold weather and lack of physical activity may worsen symptoms.,Reduce stress. Nervousness and tension can lead to more frequent urination. ",Enlarged prostate - after care
"Bad breath,Cracked lips,Dry mouth,Persistent , or ,Be restless while sleeping,Snore a lot,Have episodes of not breathing during sleep (,) ",Enlarged adenoids
" (AVM),Brain aneurysm,Carotid artery cavernous fistula (a problem with the large artery in the neck),Certain tumors ",Endovascular embolization
,Endotracheal intubation
,Endoscopy
,Endoscopic thoracic sympathectomy
,Endoscopic ultrasound
"
Calm-X
  ,Dimetabs,Dramamine,Gravol,Hydrate bullet,Marmine,Nico-Vert,Triptone ",Dimenhydrinate overdose
"Benadryl,Nytol,Sominex,Tylenol PM ",Diphenhydramine overdose
"Dilantin,Phenytoin ",Dilantin overdose
"Chest pain or pressure (more likely with exercise),Cough,Fatigue, weakness, faintness,Irregular or rapid pulse,Loss of appetite , with activity or after lying down (or being asleep) for a while, and ankles",Dilated cardiomyopathy
"Confusion,Irregular ,, ,, diarrhea, (unusual), including blind spots, blurred vision, changes in how colors look, or seeing spots) ",Digitalis toxicity
,Digoxin test
,Digestive diseases
"Try to relax,Take a deep breath during the insertion of the finger into your rectum ",Digital rectal exam
"Keep saturated fats to less than 6% of your total daily calories.,Foods with a lot of saturated fats are animal products, such as butter, cheese, whole milk, ice cream, cream, and fatty meats.,Some vegetable oils, such as coconut, palm, and palm kernel oil, also contain saturated fats. These fats are solid at room temperature.,A diet high in saturated fat increases cholesterol buildup in your arteries (blood vessels). Cholesterol is a soft, waxy substance that can cause clogged, or blocked, arteries. ,Mono-unsaturated fats, which include olive and canola oil,Polyunsaturated fats, which include safflower, sunflower, corn, and soy oil ",Dietary fats explained
,Dietary fat and children
,Diet-busting foods
"Vegetarian chili with kidney beans,Black-eyed pea salsa,Hummus made with garbanzo beans,Lentil soup with carrots and spinach,Split pea soup,Brown rice and pinto beans,White bean salad with lemon and avocado,Veggie burgers ",Diet-boosting foods
,Diet for rapid weight loss
,Diet myths and facts
"You may only use it at night or for periods during the day. You can still go about your daytime activities.,A nurse or dietitian will teach you how to prepare the liquid diet for the feeding tube and how much to use.,Follow instructions on how to care for the tube. This includes flushing the tube with water before and after feedings and replacing the dressing around the tube. You will also be taught how to clean the skin around the tube. ,If specific foods are causing your diarrhea, try to avoid these foods.,If you have too many loose bowel movements, try psyllium powder (Metamucil) mixed with water or orange juice. You can either drink it or put it through your feeding tube. It will add bulk to your stool and make it more solid.,Ask your doctor about medicines that may help with diarrhea. Never start these medicines without first talking to your doctor. ,You will be drinking liquids at first. Then you may eat soft foods for the first 4 to 8 weeks after surgery. A soft diet contains only foods that are mushy and do not need much chewing.,When you are back to a normal diet, do not eat steak and other dense meats because they may be hard to swallow. ,In the first 2 to 4 weeks, eat or drink no more than 1 cup (240 milliliters) at a time. It is ok to eat more than 3 times and even up to 6 times a day.,Your stomach will stay smaller than it was before surgery. Eating smaller meals throughout the day instead of 3 larger meals will be easier. ",Diet and eating after esophagectomy
,Diet and cancer
,Diet - liver disease
"Body aches,Feel tired and cold,Dry skin,Mood changes,Hair loss or hair thinning ",Diet after gastric banding 
"Have diarrhea,Are throwing up,Are sick to your stomach ",Diet - clear liquid
,Diet - full liquid
"Fruits, breads, grains, and vegetables. These foods provide energy, as well as fiber, minerals, and vitamins.,Hard candies, sugar, honey, and jelly. If needed, you can even eat high-calorie desserts such as pies, cakes, or cookies, as long as you limit desserts made with dairy, chocolate, nuts, or bananas. ,Low calcium. This causes the body to pull calcium from your bones, which can make your bones weaker and more likely to break.,Itching. ,Avoid salty foods,Freeze some juice in an ice cube tray and eat it like a popsicle (you must count these ice cubes in your daily amount of fluids),Stay cool on hot days ,Low-sodium,No salt added,Sodium-free,Sodium-reduced,Unsalted ,Choose peaches, grapes, pears, cherries, apples, berries, pineapple, plums, tangerines, and watermelon,Limit or avoid oranges and orange juice, nectarines, kiwis, raisins or other dried fruit, bananas, cantaloupe, honeydew, prunes, and nectarines ,Choose broccoli, cabbage, carrots, cauliflower, celery, cucumber, eggplant, green and wax beans, lettuce, onion, peppers, watercress, zucchini, and yellow squash,Limit or avoid asparagus, avocado, potatoes, tomatoes or tomato sauce, winter squash, pumpkin, avocado, and cooked spinach ",Diet - chronic kidney disease
,Diesel oil
"Burning in mouth or throat,Damage to cornea of the eye,Diarrhea,Eye pain,Hoarse voice,Nausea and vomiting,Swelling and blistering in the mouth or tongue ",Dieffenbachia poisoning
"
  Voltaren
  ,
  Arthrotec
  ,
  Solaraze
  ",Diclofenac sodium overdose
"Diazepam intensol,Diastat,Dizac,Valium,Valrelease ",Diazepam overdose
,Diazinon poisoning
"A change in your baby's diet or a change in the mother's diet if breastfeeding.,Use of antibiotics by the baby, or use by the mother if breastfeeding.,A bacterial infection. Your baby will need to take antibiotics to get better.,A parasite infection. Your baby will need to take medicine to get better.,Rare diseases such as ,. ",Diarrhea in infants
,Diastasis recti
,Diarrhea in infants
,Diarrhea - what to ask your health care provider  - adult
"Some antibiotics,Chemotherapy drugs for cancer,Laxatives containing magnesium ,Inflammatory bowel diseases (, and ,), (IBS), (which causes problems after drinking milk and eating other dairy products),Removal of part of the stomach (,) or small intestine,Radiation therapy ",Diarrhea - overview
,Diarrhea - what to ask your doctor - child 
" due to lack of oxygen,Fast heart rate (tachycardia)",Diaphragmatic hernia
,Diaphragmatic hernia repair - congenital
"Bright red rash that gets bigger,Very red and scaly areas on the scrotum and penis in boys,Red or scaly areas on the labia and vagina in girls,Pimples, blisters, ulcers, large bumps, or sores filled with pus ,Smaller red patches (called satellite lesions) that grow and blend in with the other patches ",Diaper rash
,Dialysis centers - what to expect
"
  
  Decreased vision
  
  ,
  Pain
  ,Redness,
  Swelling of the eyelids
  ",Endophthalmitis
,Endoscope
"Painful periods.,Pain in your lower belly before and during your period.,Cramps for a week or 2 before and during your period. Cramps may be steady and range from dull to severe.,Pain during or following sexual intercourse.,Pain with bowel movements.,Pelvic or low back pain that may occur at any time. ",Endometriosis
"Swelling of the abdomen, or ,Discomfort with bowel movement (including constipation),Fever,General discomfort, uneasiness, or ill feeling,Pain in lower abdomen or pelvic region (uterine pain) ",Endometritis
"Menstrual bleeding that is not regular or predictable,Long or heavy menstrual bleeding,Bleeding between periods,Bleeding from the vagina after menopause,Trouble getting or staying pregnant (infertility)",Endometrial polyps
"
  Abnormal bleeding from the vagina, including bleeding between periods or spotting/bleeding after menopause ,Extremely long, heavy, or frequent episodes of vaginal bleeding after age 40,Lower , or pelvic cramping,Thin white or clear vaginal discharge after menopause",Endometrial cancer
,Endometrial ablation
"
  Tell your provider about all the medicines you take. These include blood thinners such as warfarin, clopidogrel, and aspirin.,You may be asked to have a test to check if you are pregnant.,In the 2 days before the procedure, do not use creams or other medicines in the vagina.,Do NOT douche. (You should never douche. Douching can cause infection of the vagina or uterus.),Ask your provider if you should take pain medicine, such as ibuprofen or acetaminophen, just before the procedure.
  ",Endometrial biopsy
,Endocrine glands
,Endocervical gram stain
"Do NOT use creams or other medicines in the vagina. ,Do NOT douche. (You should never douche. Douching can cause infection of the vagina or uterus.),Empty your bladder and bowel.,At your provider’s office, follow instructions for preparing for the vaginal exam.",Endocervical culture
"Be present for days before any other symptoms appear,Come and go, or be more noticeable at nighttime,Tiredness,Weakness,Joint pain,Muscle pain,Trouble breathing,Weight loss,Small bleeding areas under the nails (,),Red, painless skin spots on the palms and soles (Janeway lesions),Red, painful nodes in the pads of the fingers and toes (Osler nodes),Swelling of feet, legs, abdomen",Endocarditis - children
"Be present for days before any other symptoms appear,Come and go, or be more noticeable at nighttime ,Small areas of bleeding under the nails (,),Red, painless skin spots on the palms and soles (Janeway lesions),Red, painful nodes in the pads of the fingers and toes (Osler's nodes), with activity,Swelling of feet, legs, abdomen ",Endocarditis
"Baby tires easily,Bluish skin color, also known as cyanosis (the lips may also be blue),Feeding difficulties,Failure to gain weight and grow,Frequent pneumonia
or infections   ,Pale skin (pallor),Rapid heartbeat,Sweating,Swollen legs or abdomen (rare in children),Trouble breathing, especially during feeding",Endocardial cushion defect
,Ending pregnancy with medications
" and ,Itching (,) and dry skin,Weight loss without trying,Loss of appetite,Abnormally dark or light skin,Nail changes,Bone pain, and ,Problems concentrating or thinking,Numbness in the hands, feet, or other areas, or cramps,Breath odor,Easy bruising, nosebleeds, or blood in the stool,Excessive thirst,Frequent ,Problems with sexual function,Menstrual periods stop (amenorrhea),Sleep problems,Swelling of the feet and hands (,),, often in the morning ",End-stage kidney disease
,Endemic
" that is not very high,Mild headache,Low energy and a poor appetite,, ,, disorientation,Irritability or poor temper control,Stiff neck and back (sometimes),Vomiting ,Body stiffness,Irritability and crying more often (these symptoms may get worse when the baby is picked up),Poor feeding,Soft spot on the top of the head may bulge out more,Vomiting,, poor responsiveness, stupor, coma, or ,Severe headache,Sudden change in mental functions, such a flat mood, impaired judgment, memory loss, or a lack of interest in daily activities ",Encephalitis
", which worsens when you breathe in deeply (pleurisy),Dry ,, especially night sweats, and chills,General discomfort, uneasiness, or ill feeling (,), (unintentional) ",Empyema
"Being unable to hold stool before getting to a toilet (bowel incontinence),Passing stool in inappropriate places (as in the child's clothes),Keeping bowel movements a secret,Having constipation and hard stools,Sometimes passing a very large stool that almost blocks the toilet ",Encopresis
"Erectile dysfunction (,),Headaches,Irregular or absent menstruation,Low sexual desire (low libido),Fatigue, low energy",Empty sella syndrome
,Emergency airway puncture
,Emergency contraception
" or , (cryptorchidism),Extra fingers (,),, including missing or deformed nails,Short arms and legs, especially forearm and lower leg,Short height, between 3 1/2 to 5 feet (1 to 1.5 meters) tall,Sparse, absent, or fine textured hair,Tooth abnormalities, such as ,, ,Teeth present at birth (,)",Ellis-van Creveld syndrome
,ELISA
,Elimination patterns
,Elephant ear
,Electroretinography
"Your health care provider will tell you if you need to stop taking any medicines before you have this test.,DO NOT stop or change your medicines without talking to your provider first. ",Electronystagmography
,Electromyography
,Electrolytes - urine
,Electrolytes
"Are having delusions or other psychotic symptoms with their depression,Are pregnant and severely depressed,Are suicidal,Can't take antidepressant drugs,Haven't responded fully to antidepressant drugs",Electroconvulsive therapy
,Electrocauterization
,Electrocardiogram
"Accidental contact with exposed parts of electrical appliances or wiring,Flashing of electric arcs from high-voltage power lines,Lightning,Machinery or occupational-related exposures,Young children biting or chewing on electrical cords, or poking metal objects into an electrical outlet ",Electrical injury
,Elder care - resources
"You fall with your arm stretched out, such as when playing sports,Your elbow is hit very hard, such as during a car accident ",Elbow sprain - aftercare
"Poor sleep patterns,Noise or stimulation around your child (too much or too little can be a problem),Stress around the home,Irregular day-to-day schedule ",Fussy or irritable child
,Fusion of the ear bones
,Furniture polish poisoning
,Funnel-web spider bite
"Brittleness,Change in nail shape,Crumbling of the outside edges of the nail,Debris trapped under the nail,Loosening or lifting up of the nail,Loss of luster and shine on the nail surface,Thickening of the nail,White or yellow streaks on the side of the nail ",Fungal nail infection
Fever,Fungal arthritis
"Eye pain, and glare,Foggy or ,, at first only in the mornings,Seeing colored halos around lights,Worsening vision throughout the day",Fuchs dystrophy
"Fuel oil,Kerosene",Fuel oil poisoning
"Have thyroid disease, diabetes, or are going through menopause,Have a shoulder injury,Have had a , that makes them unable to use their arm,Have a cast on their arm that holds their arm in one position ",Frozen shoulder - aftercare
"Decreased motion of the shoulder,Pain,Stiffness ",Frozen shoulder
"Pins and needles feeling, followed by numbness,Hard, pale, and cold skin that has been exposed to the cold for too long,Aching, throbbing or lack of feeling in the affected area,Red and extremely painful skin and muscle as the area thaws,Blisters,Gangrene (blackened, dead tissue),Damage to tendons, muscles, nerves, and bone,If the frostbite did not affect your blood vessels, a complete recovery is possible.,If the frostbite affected the blood vessels, the damage is permanent. Gangrene may occur. This may require removal of the affected body part (amputation). ",Frostbite
,FTA-ABS test
"Acromegaly,Basal cell nevus syndrome,Crouzon syndrome,Pfeiffer syndrome, (Russell-Silver dwarf),Use of the antiseizure drug trimethadione during pregnancy ",Frontal bossing
"Abnormal speech,Changes in vision, particularly color vision,Decrease in ability to feel vibrations in lower limbs,Foot problems, such as , and ,Hearing loss, this occurs in about 10% of people, and balance, which leads to frequent falls,No reflexes in the legs, and uncoordinated movements (,), which gets worse with time ",Friedreich ataxia
,Frequent or urgent urination
,Free T4 test
"Autism spectrum disorder,Delay in crawling, walking, or twisting,Hand clapping or hand biting,Hyperactive or impulsive behavior,Tendency to avoid eye contact ,Flat feet,Flexible joints and low muscle tone,Large body size,Large forehead or ears with a prominent jaw,Long face,Soft skin ",Fragile X syndrome
,Fractured clavicle in the newborn
,Fractional excretion of sodium
"
Flowers, leaves, stems, and seeds of the foxglove plant
  ,
Heart medicine (digitalis glycoside)
  ",Foxglove poisoning
,Foreign object - inhaled or swallowed
" through the affected nostril,Feeling of something in the nose,Foul-smelling or bloody ,Irritability, particularly in infants,Irritation or pain in the nose ",Foreign body in the nose
"Deep furrows between the eyes,Horizontal wrinkles on the forehead,Nose that does not work properly,Sagging brows,Tissue that hangs down at the outer part of the eyelids ",Forehead lift
"Pain that may be felt in your thigh, calf, lower back, shoulder, arms or hands. The pain is often deep and steady,Pain when doing certain activities or moving your body a certain way,Numbness, tingling, and muscle weakness ",Foraminotomy
"Is overweight,Has a ,Is older,Has a leg infection,Has , back to the heart ,Antidepressants, including MAO inhibitors and tricyclics ,Blood pressure medicines called calcium channel blockers ,Hormones, such as estrogen (in birth control pills or hormone replacement therapy) and testosterone,Steroids ","Foot, leg, and ankle swelling"
"Grade I, minor. You have small tears in the ligaments.,Grade II, moderate. You have large tears in the ligaments.,Grade III, severe. The ligaments have completely torn from the bone. ",Foot sprain - aftercare
,Foot pain causes
"Apply ice to reduce pain and swelling.,Keep your painful foot elevated as much as possible.,Reduce your activity until you feel better.,Wear shoes that fit your feet and are right for the activity you are doing.,Wear foot pads to prevent rubbing and irritation.,Use an over-the-counter pain medicine, such as ibuprofen or acetaminophen. (Talk to your health care provider first if you have a history of ulcer or liver problems.) ,Wear comfortable, properly fitting shoes, with good arch support and cushioning.,Wear shoes with plenty of room around the ball of your foot and toes, a wide toe box.,Avoid narrow-toed shoes and high heels.,Wear sneakers as often as possible, especially when walking.,Replace running shoes frequently.,Warm up and cool down when exercising. Always stretch first.,Increase your amount of exercise slowly over time to avoid putting excessive strain on your feet.,Lose weight if you need to.,Learn exercises to strengthen your feet and avoid pain. This can help flat feet and other potential foot problems. ",Foot pain
,Foot amputation - discharge
"Wash your hands before performing an exchange or handling the catheter.,Wear a surgical mask when performing an exchange.,Look closely at each bag of solution to check for signs of contamination.,Clean the catheter area with an antiseptic every day. ",Dialysis - peritoneal
,Dialysis - hemodialysis
,Diagnostic laparoscopy
"Deep, ,Dry skin and mouth,Flushed face, or ,Fruity-smelling breath,Headache, and vomiting",Diabetic ketoacidosis
" and urination (at the beginning of the syndrome),Feeling weak,Nausea,Weight loss,Dry mouth, dry tongue,Fever,Seizures,Coma,Loss of feeling or function of muscles,Problems with movement,Speech impairment ",Diabetic hyperglycemic hyperosmolar syndrome
,Diabetes type 2 - meal planning
"Dry mucous membranes,Dry skin,Sunken appearance to eyes,Sunken fontanelles (soft spot) in infants ,Fatigue, feeling weak,Headache,Irritability,Low body temperature,Muscle pain,Weight loss,A change in alertness, and even coma",Diabetes insipidus - nephrogenic
" 
 Increased urine production 
 ,Excessive thirst,Confusion and changes in alertness due to dehydration and higher than normal sodium level in the body, if the person is unable to drink ",Diabetes insipidus - central
" that may be intense or uncontrollable, usually with the need to drink large amounts of water or craving for ice water,Excessive urination, often needing to urinate every hour throughout the day and night ",Diabetes insipidus
,Diabetes diet - gestational
"An ophthalmologist is a medical doctor who is an eye specialist trained to diagnose and treat eye problems.,An optometrist is a health care provider trained to diagnose and treat problems with your vision. Many can do screening exams for damage from diabetes. Once you have eye disease caused by diabetes, you need to see an ophthalmologist. ",Diabetes eye exams
"Fatigue most of the time,Poor appetite,Itchy skin,Easily develop infections",Diabetes and kidney disease
"
   Not notice when you step on something sharp
   ,
   Not know that you have a blister or small cut
   ,
   Not notice when your feet or hands touch something that is too hot or cold
   ,
   Feeling full after eating only a small amount of food
   , and bloating,
   Nausea, constipation, or diarrhea
   ,
   Swallowing problems
   ,
  Throwing up undigested food a few hours after a meal
   ,
   Feel lightheaded when you stand up (orthostatic ,)
   ,
   Have a fast heart rate
   ,
   Not notice ,, the chest pain that warns of heart disease and heart attack
   ,
  Sexual problems, which cause trouble getting an erection in men and vaginal dryness or orgasm problems in women.
   ,
   Not being able to tell when your blood sugar gets too low.
   ,
   Bladder problems, which cause urine leakage or not being able to empty the bladder.
   ,
   Sweating too much, even when the temperature is cool, when you're at rest, or at other unusual times.
   ,
   Feet that are very sweaty (early damage) or very dry (later).
   ",Diabetes and nerve damage
,Diabetes and exercise 
"Blurred vision and slow vision loss over time,Shadows or missing areas of vision,Trouble seeing at night ",Diabetes and eye disease
"Blood pressure,Weight,Feet ",Diabetes - tests and checkups 
,Diabetes - taking care of your feet
,Diabetes - resources
,Diabetes - when you are sick
,Diabetes - preventing heart attack and stroke
"Weakness or feeling tired,Shaking,Sweating,Headache,Hunger,Feeling uneasy, nervous, or anxious,Feeling cranky,Trouble thinking clearly,Double or blurry vision,Fast or pounding heartbeat ,Faint,Have a seizure,Go into a coma ",Diabetes - low blood sugar - self-care
,Diabetes - keeping active 
"The skin surrounding the wound is cleaned and disinfected.,The wound is probed with a metal instrument to see how deep it is and to see if there is any foreign material or object in the ulcer.,The doctor cuts away the dead tissue, then washes out the ulcer.,Your sore may seem bigger and deeper after the doctor or nurse debrides it. The ulcer should be red or pink in color and look like fresh meat. ,Put your foot in a whirlpool bath.,Use a syringe and catheter (tube) to wash away dead tissue.,Apply wet to dry dressings to the area to pull off dead tissue.,Put special chemicals, called enzymes, on your ulcer. These dissolve dead tissue from the wound.,Put special maggots on the ulcer. The maggots eat only the dead skin and produce chemicals that help the ulcer heal. ",Diabetes - foot ulcers
"Dilating your eyes to allow a good view of the entire retina. Only an eye doctor can do this exam.,At times, special photographs of your retina may replace the dilated eye exam. This is called digital retinal photography. ",Diabetes - eye care
,DHEA-sulfate test
"Robitussin DM,Triaminic DM,Rondec DM,Benylin DM,Drixoral,St. Joseph Cough Suppressant,Coricidin,Alka-Seltzer Plus Cold and Cough,NyQuil,DayQuil,TheraFlu,Tylenol Cold,Dimetapp DM ,Orange crush,Triple Cs,Red Devils,Skittles,Dex ",Dextromethorphan overdose
"Bluish skin,Difficulty breathing,Failure to grow and gain weight,Fatigue,Jaundice (yellow skin and eyes),Pale skin (pallor),Repeated sinus or lung infections",Dextrocardia 
,Devices for hearing loss
"Determining the meaning of a simple sentence,Learning to recognize written words,Rhyming words",Developmental reading disorder
"Blurry vision,Excess thirst,Frequent urination,Hunger,Weight loss ,, including trouble seeing (especially at night), light sensitivity, and blindness,Sores and infections of the leg or foot, which if untreated, can lead to amputation of the leg or foot,, causing pain, tingling, a loss of feeling, problems digesting food, and erectile dysfunction,, which can lead to ,Weakened immune system, which can lead to more frequent infections,Increased chance of having a , or ",Diabetes
,Developmental milestones record - 9 months
,Developmental milestones record - 5 years
,Developmental milestones record - 4 years
"Antibiotics,Anti-seizure drugs such as corticosteroids (hydrocortisone, prednisone),Estrogen,Oral birth control (contraceptives),Water pills (diuretics) ",Dexamethasone suppression test
,Developmental milestones record - 6 months
,Developmental milestones record - 4 months
,Developmental milestones record - 3 years
,Developmental milestones record - 2 months
,Developmental milestones record - 2 years
,Elbow replacement - discharge 
"Poor outcome from past elbow surgery,Badly , in the upper or lower arm near the elbow,Badly damaged or torn tissues in the elbow, in or around the elbow,Stiff elbow",Elbow replacement
,Eight ways to cut your health care costs
"Bluish lips, fingers, toes, and skin (cyanosis),Rounded fingernails and toenails (clubbing),Numbness and tingling of fingers and toes,Chest pain,Coughing up blood,Dizziness,Fainting,Feeling tired,Shortness of breath,Skipped heartbeats (palpitations),Stroke,Swelling in the joints caused by too much uric acid (gout)",Eisenmenger syndrome
,Elbow pain
"Headache,Muscle aches,Fine pinhead-sized areas of bleeding into the skin (petechial rash),Flat red , (maculopapular rash), which is uncommon,General ill feeling (,) ",Ehrlichiosis
"Back pain,Double-jointedness,Easily damaged, bruised, and stretchy skin,Easy scarring and poor wound healing,Flat feet,Increased joint mobility, joints popping, early arthritis,Joint pain,Premature rupture of membranes during pregnancy,Very soft and velvety skin,Vision problems ",Ehlers-Danlos syndrome
"Ask to have this information written down, as you may not remember what you were told later on.,Final results for any tissue biopsies that were done may take up to 1 to 3 weeks. ",EGD discharge
,EEG
,EGD - esophagogastroduodenoscopy
"Dry, painful eyes,Excess , (,),Eyelid turns outward (downward),Long-term (chronic) ,Redness of the lid and white part of the eye ",Ectropion
"Feeling your heartbeat (,),Feeling like your heart stopped or skipped a beat,Feeling of occasional, forceful beats",Ectopic heartbeat
"Low back pain,Mild cramping on one side of the pelvis,No periods,Pain in the lower belly or pelvic area ,Fainting or feeling faint,Intense pressure in the rectum,Low blood pressure,Pain in the shoulder area,Severe, sharp, and sudden pain in the lower abdomen ",Ectopic pregnancy
"Round, red, and full face (,),Slow growth rate in children,Weight gain with fat accumulation on the trunk, but fat loss from the arms, legs, and buttocks (central ,) ,Skin infections,Purple marks (1/2 inch 1 centimeter or more wide) called , on the skin of the abdomen, thighs, and breasts,Thin skin with easy bruising ,Backache, which occurs with routine activities,Bone pain or tenderness,Collection of fat between the shoulders and above the collar bone,Rib and spine fractures caused by ,Weak muscles, especially of the hips and shoulders ,Excess hair growth on the face, neck, chest, abdomen, and thighs,Periods that become irregular or stop ,Decreased or no desire for sex, 
 Mental changes, such as depression, anxiety, or changes in behavior,Headache,Increased , and ",Ectopic Cushing syndrome
,Ecthyma
"Abnormal nails,Abnormal or missing teeth, or fewer than normal number of teeth,Decreased skin color (pigment), or this skin,Large forehead,Low nasal bridge,Thin, sparse hair,Learning disabilities,Poor hearing,Poor vision with decreased tear production",Ectodermal dysplasia
"Seizures,Severe agitation,Unconsciousness,Headaches,Nausea and vomiting,Stomach pain,Swelling of the hands and face,Vision problems, such as loss of vision, blurred vision, double vision, or missing areas in the visual field",Eclampsia
" (breathing difficulty and harsh cough),Mouth sores,Skin rashes,Sore throat ",ECHO virus 
,Echocardiogram
"Do not allow your child to eat or drink anything prior to having a TEE.,Do not use any cream or oil on your child before the exam.,Explain the test in detail to older children so they understand that they should remain still during the test.,Younger children less than 4 years of age may need medicine (sedation) to help them stay still for clearer pictures.,Give children older than 4 a toy to hold, or have them watch videos to help them stay calm and still during the test.",Echocardiogram - children
"Pain in the upper right part of the abdomen,Severe skin ",Echinococcus
"Cough,Failure to grow,Fatigue,Rapid breathing,Shortness of breath,Very fast heartbeat ",Ebstein anomaly
"Fever greater than 101.5°F (38.6°C),Chills,Severe headache,Sore throat,Muscle pain,Weakness,Fatigue,Rash,Abdominal (stomach) pain,Diarrhea,Vomiting ,Bleeding from the mouth and rectum,Bleeding from eyes, ears, and nose,Organ failure ",Ebola virus disease
"Salads and other vegetable side dishes,Foods that are broiled, grilled, steamed, poached, roasted, or baked,Chicken, turkey, seafood, or lean meats ,Anything creamy, fried, crispy, breaded, battered, or au gratin,Sauces or soups with lots of butter, cream, or cheese,Thick or creamy salad dressings,Most casserole dishes ,If you were serving yourself a healthy meal at home half of your plate would be covered in green vegetables; if your entrée does not come with a vegetable order one on the side so you can still make a healthy plate.,Choose carefully. Avoid eating foods such as rolls and bread just because they are on the table.,Split a meal with someone, or ask for a take-out box and take half of your meal home.,Order the ""lunch size"" of any food rather than the ""dinner size."",Order appetizers rather than an entrée.,Start with a small salad or broth-based soup as an appetizer.,Order the dressing for your salad on the side so you can control how much of it you use.,Drink water or low-fat milk. Limit fluids that have empty calories, such as sodas.,Limit how much alcohol you have with meals. Wine is better than frozen drinks or mixed cocktails that have juice in them.,Skip your dessert, or share it with someone. ",Eating out
"Write down what you eat, how much, and what times of the day you are eating.,Include notes about what else you were doing and how you were feeling, such as being hungry, stressed, tired, or bored. For example, maybe you were at work and were bored. So you got a snack from a vending machine down the hall from your desk.,At the end of the week, review your journal and look at your eating patterns. Decide which habits you want to change. ,Drink skim or low-fat (1%) milk instead of 2% or whole milk.,Drink more water throughout the day.,Eat fruit for dessert instead of cookies (or skip dessert all together most days).,Schedule times to eat your meals and snacks.,Plan and prepare healthy meals and snacks to increase your chance of success.,Keep healthy snacks at work. Pack healthy lunches that you make at home.,Pay attention to your feelings of hunger. Learn the difference between physical hunger and habitual eating. ",Eating habits and behaviors
"Ask your provider first if it is OK to do so.,Add butter or margarine to foods when you are cooking, or put them on foods that are already cooked.,Add cream sauce or melt cheese over vegetables.,Eat peanut butter sandwiches, or put peanut butter on vegetables or fruits, such as carrots or apples.,Mix whole milk or half-and-half with canned soups.,Add protein supplements to yogurt, milkshakes, fruit smoothies, or pudding.,Drink milkshakes between meals.,Add honey to juices. ",Eating extra calories when sick - adults
"Feed babies infant formula or breast milk when they are thirsty, not juices or water.,Feed babies solid food when they are 4 to 6 months old, especially foods that have a lot of calories. ,Give children whole milk with meals, not juices, low-fat milk, or water.,Ask your child's health care provider if it is OK to sauté or fry food.,Add butter or margarine to foods when you are cooking, or put them on foods that are already cooked.,Feed your child peanut butter sandwiches, or put peanut butter on vegetables or fruits, such as carrots and apples.,Mix canned soups with half-and-half or cream.,Use half-and-half or cream in casseroles and mashed potatoes, and on cereal.,Add protein supplements to yogurt, milkshakes, fruit smoothies, and pudding.,Offer your child milkshakes between meals.,Add cream sauce or melt cheese over vegetables.,Ask your child's provider if liquid nutrition drinks are OK to try. ",Eating extra calories when sick - children
,Eating disorders - resources
,Earlobe creases
"A bad ,Sticking something inside the ear canal,Surgery to place ,Trauma,The eardrum has a larger hole or opening,There is a chronic infection in the ear, and antibiotics do not help,There is a buildup of extra tissue around or behind the eardrum",Eardrum repair
" of the jaw, (from high altitudes and other causes), or buildup of ear wax,Sore throat, (TMJ),Ear canal irritation from cotton-tipped swabs,Soap or shampoo staying in the ear ",Earache
"Too much weight gain,Gestational diabetes,The chance of needing a C-section,Anemia and infections in the mother,Poor healing,An early birth of the baby,A low birth-weight baby",Eating right during pregnancy
"Fullness in the ear or a sensation that the ear is plugged,
   Noises in the ear (,),Partial hearing loss, may get worse",Ear wax
,Ear tube surgery - what to ask your doctor 
